X= 34, Y= 41, crit= -1, vga_plot=1
X= 90, Y= 45, crit= -1, vga_plot=1
X= 86, Y= 41, crit= -1, vga_plot=1
X= 90, Y= 98, crit= 54, vga_plot=1
X= 87, Y=101, crit= 54, vga_plot=1
X= 30, Y= 98, crit= 54, vga_plot=1
X= 33, Y=101, crit= 54, vga_plot=1
X= 30, Y= 44, crit= 54, vga_plot=1
X= 33, Y= 41, crit= 54, vga_plot=1
X= 90, Y= 44, crit= 54, vga_plot=1
X= 87, Y= 41, crit= 54, vga_plot=1
X= 89, Y= 99, crit= 53, vga_plot=1
X= 88, Y=100, crit= 53, vga_plot=1
X= 31, Y= 99, crit= 53, vga_plot=1
X= 32, Y=100, crit= 53, vga_plot=1
X= 31, Y= 43, crit= 53, vga_plot=1
X= 32, Y= 42, crit= 53, vga_plot=1
X= 89, Y= 43, crit= 53, vga_plot=1
X= 88, Y= 42, crit= 53, vga_plot=1
X=120, Y= 36, crit=-39, vga_plot=1
X= 80, Y= 76, crit=-39, vga_plot=1
X= 40, Y= 36, crit=-39, vga_plot=1
X= 80, Y= 76, crit=-39, vga_plot=1
X= 40, Y= 36, crit=-39, vga_plot=1
X= 80, Y= -4, crit=-39, vga_plot=0
X=120, Y= 36, crit=-39, vga_plot=1
X= 80, Y= -4, crit=-39, vga_plot=0
X=120, Y= 37, crit=-36, vga_plot=1
X= 81, Y= 76, crit=-36, vga_plot=1
X= 40, Y= 37, crit=-36, vga_plot=1
X= 79, Y= 76, crit=-36, vga_plot=1
X= 40, Y= 35, crit=-36, vga_plot=1
X= 79, Y= -4, crit=-36, vga_plot=0
X=120, Y= 35, crit=-36, vga_plot=1
X= 81, Y= -4, crit=-36, vga_plot=0
X=120, Y= 38, crit=-31, vga_plot=1
X= 82, Y= 76, crit=-31, vga_plot=1
X= 40, Y= 38, crit=-31, vga_plot=1
X= 78, Y= 76, crit=-31, vga_plot=1
X= 40, Y= 34, crit=-31, vga_plot=1
X= 78, Y= -4, crit=-31, vga_plot=0
X=120, Y= 34, crit=-31, vga_plot=1
X= 82, Y= -4, crit=-31, vga_plot=0
X=120, Y= 39, crit=-24, vga_plot=1
X= 83, Y= 76, crit=-24, vga_plot=1
X= 40, Y= 39, crit=-24, vga_plot=1
X= 77, Y= 76, crit=-24, vga_plot=1
X= 40, Y= 33, crit=-24, vga_plot=1
X= 77, Y= -4, crit=-24, vga_plot=0
X=120, Y= 33, crit=-24, vga_plot=1
X= 83, Y= -4, crit=-24, vga_plot=0
X=120, Y= 40, crit=-15, vga_plot=1
X= 84, Y= 76, crit=-15, vga_plot=1
X= 40, Y= 40, crit=-15, vga_plot=1
X= 76, Y= 76, crit=-15, vga_plot=1
X= 40, Y= 32, crit=-15, vga_plot=1
X= 76, Y= -4, crit=-15, vga_plot=0
X=120, Y= 32, crit=-15, vga_plot=1
X= 84, Y= -4, crit=-15, vga_plot=0
X=120, Y= 41, crit= -4, vga_plot=1
X= 85, Y= 76, crit= -4, vga_plot=1
X= 40, Y= 41, crit= -4, vga_plot=1
X= 75, Y= 76, crit= -4, vga_plot=1
X= 40, Y= 31, crit= -4, vga_plot=1
X= 75, Y= -4, crit= -4, vga_plot=0
X=120, Y= 31, crit= -4, vga_plot=1
X= 85, Y= -4, crit= -4, vga_plot=0
X=120, Y= 42, crit=  9, vga_plot=1
X= 86, Y= 76, crit=  9, vga_plot=1
